,local_student_id,site_id,grading_period_name,academic_year,local_section_id,school_course_id,corrected_grade,max_credits,credits_received,is_final?,is_repeat?,session_type_id
65,130198,13,Final Grades,2018,English 6-Wil-M1A,B006,B,1.0,1.0,1,0,1
66,130198,13,Final Grades,2018,Math 6-Won-T1A,C006,C-,1.0,1.0,1,0,1
67,130198,13,Final Grades,2018,Science 6-Wol-M2A,D006,C+,1.0,1.0,1,0,1
68,130198,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
69,130018,13,Final Grades,2018,History 6-Hen-T1A,A006,A+,1.0,1.0,1,0,1
70,130018,13,Final Grades,2018,English 6-Wil-M2A,B006,A-,1.0,1.0,1,0,1
71,130018,13,Final Grades,2018,Math 6-Won-M1A,C006,A-,1.0,1.0,1,0,1
72,130018,13,Final Grades,2018,Science 6-Wol-T2A,D006,A+,1.0,1.0,1,0,1
73,130018,13,Final Grades,2018,Spanish 6th-Per-T3A,E006,A+,1.0,1.0,1,0,1
74,130204,13,Final Grades,2018,History 6-Hen-M2A,A006,,1.0,1.0,1,0,1
75,130204,13,Final Grades,2018,English 6-Wil-T1A,B006,,1.0,1.0,1,0,1
76,130204,13,Final Grades,2018,Math 6-Won-M1A,C006,,1.0,1.0,1,0,1
77,130204,13,Final Grades,2018,Science 6-Wol-T2A,D006,,1.0,1.0,1,0,1
78,130204,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
79,130216,13,Final Grades,2018,History 6-Hen-M1A,A006,,1.0,1.0,1,0,1
80,130216,13,Final Grades,2018,English 6-Wil-T1A,B006,,1.0,1.0,1,0,1
81,130216,13,Final Grades,2018,Math 6-Won-M2A,C006,,1.0,1.0,1,0,1
82,130216,13,Final Grades,2018,Science 6-Wol-T2A,D006,,1.0,1.0,1,0,1
83,130181,13,Final Grades,2018,History 6-Hen-T1A,A006,B+,1.0,1.0,1,0,1
84,130181,13,Final Grades,2018,English 6-Wil-M2A,B006,B+,1.0,1.0,1,0,1
85,130181,13,Final Grades,2018,Math 6-Won-T2A,C006,B,1.0,1.0,1,0,1
86,130181,13,Final Grades,2018,Science 6-Wol-M1A,D006,C+,1.0,1.0,1,0,1
87,130181,13,Final Grades,2018,TAB-Pot-T3A,I1048,,1.0,1.0,1,0,1
88,130114,13,Final Grades,2018,History 6-Hen-M1A,A006,B,1.0,1.0,1,0,1
89,130114,13,Final Grades,2018,English 6-Wil-T1A,B006,B,1.0,1.0,1,0,1
90,130114,13,Final Grades,2018,Math 6-Won-T2A,C006,B,1.0,1.0,1,0,1
91,130114,13,Final Grades,2018,Science 6-Wol-M2A,D006,B-,1.0,1.0,1,0,1
92,130114,13,Final Grades,2018,Conditioning 6th B-Pec-T3A,I1068,,1.0,1.0,1,0,1
93,130117,13,Final Grades,2018,History 6-Hen-T1A,A006,A-,1.0,1.0,1,0,1
94,130117,13,Final Grades,2018,English 6-Wil-M1A,B006,A,1.0,1.0,1,0,1
95,130117,13,Final Grades,2018,Math 6-Won-M2A,C006,A+,1.0,1.0,1,0,1
96,130117,13,Final Grades,2018,Science 6-Wol-T2A,D006,A-,1.0,1.0,1,0,1
