corrected_grade,COURSE_NAME,COURSE_NUMBER,grade_type,inc_ovrdue?,inc_pfa?,inc_project?,LETTER_GRADE,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,A-,11514 I139,11514,100,89,,0,92,100
A,SP-AP Government,A400,project,FALSE,FALSE,FALSE,A,11515 A400,11515,100,93,,0,95,100
A,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,A,11515 B400,11515,100,91,,0,94,100
A,SP-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,A,11515 C400,11515,60,97,97,0,94,100
A+,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,A+,11515 D430,11515,100,96,,0,97,100
I,SP-AP Spanish Language,E400,project,TRUE,FALSE,FALSE,I,11515 E400,11515,100,,,1,90,100
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,A,11515 I139,11515,100,91,,0,94,100
I,SP-AP Government,A400,project,TRUE,FALSE,FALSE,I,11516 A400,11516,0,73,,1,72,100
C-,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,C-,11516 B400,11516,0,70,,0,70,100
I,SP-AP Calculus AB,C400,project,FALSE,FALSE,TRUE,I,11516 C400,11516,0,0,80,0,53,100
B-,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,B-,11516 D430,11516,0,85,,0,81,100
A+,Sociology of Law,G102,a_f_elec,FALSE,FALSE,FALSE,A+,11516 G102,11516,100,100,,0,100,100
A+,Holocaust History,G1055,a_f_elec,FALSE,FALSE,FALSE,A+,11516 G1055,11516,100,100,,0,100,100
I,SP-AP Government,A400,project,TRUE,TRUE,FALSE,I,11518 A400,11518,0,80,,1,75,88
B-,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,B-,11518 B400,11518,60,76,,0,80,100
I,SP-AP Statistics,C420,project,FALSE,FALSE,TRUE,I,11518 C420,11518,0,78,60,0,68,100
B-,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,B-,11518 D430,11518,9,83,,0,80,100
A,Multimedia Journalism,G299,a_f_elec,FALSE,FALSE,FALSE,A,11518 G299,11518,100,93,,0,95,100
A,SP-AP Government,A400,project,FALSE,FALSE,FALSE,A,11519 A400,11519,75,95,,0,94,100
A-,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,A-,11519 B400,11519,60,94,,0,92,100
A-,SP-AP Calculus AB,C400,project,FALSE,FALSE,FALSE,A-,11519 C400,11519,20,100,96,0,91,100
I,SP-AP Statistics,C420,project,TRUE,FALSE,FALSE,I,11519 C420,11519,60,99,80,1,88,100
A-,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,A-,11519 D430,11519,72,89,,0,90,100
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,B-,11519 I139,11519,100,72,,0,80,100
C,SP-AP Government,A400,project,FALSE,FALSE,FALSE,C,11520 A400,11520,0,77,,0,75,100
B+,SP-AP English Literature,B400,project,FALSE,FALSE,FALSE,B+,11520 B400,11520,0,94,,0,87,100
I,SP-AP Statistics,C420,project,FALSE,TRUE,TRUE,I,11520 C420,11520,0,52,69,0,55,54
C,SP-AP Environmental Science,D430,project,FALSE,FALSE,FALSE,C,11520 D430,11520,0,78,,0,76,100
A,Advanced Journalism,G200,a_f_elec,FALSE,FALSE,FALSE,A,11520 G200,11520,50,100,,0,96,100
I,Multimedia Journalism,G299,a_f_elec,FALSE,TRUE,FALSE,I,11520 G299,11520,100,100,,0,93,66
I,SP-AP Government,A400,project,TRUE,TRUE,TRUE,I,11521 A400,11521,0,48,,2,50,77
I,SP-AP English Literature,B400,project,TRUE,TRUE,TRUE,I,11521 B400,11521,0,13,,2,21,57
I,SP-AP Statistics,C420,project,TRUE,TRUE,TRUE,I,11521 C420,11521,0,,63,2,55,63
I,SP-AP Environmental Science,D430,project,TRUE,FALSE,TRUE,I,11521 D430,11521,0,51,,3,57,100
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,C+,11521 I139,11521,100,70,,0,79,100
I,SP-AP Government,A400,project,TRUE,FALSE,TRUE,I,11522 A400,11522,25,64,,2,68,100
I,SP-AP English Literature,B400,project,TRUE,FALSE,TRUE,I,11522 B400,11522,40,65,,1,70,100
I,SP-AP Statistics,C420,project,TRUE,TRUE,TRUE,I,11522 C420,11522,20,25,58,1,46,63
I,SP-AP Environmental Science,D430,project,TRUE,FALSE,FALSE,I,11522 D430,11522,54,86,,2,86,100
A,Entrepreneurship,G022,a_f_elec,FALSE,FALSE,FALSE,A,11522 G022,11522,100,93,,0,95,100
P,Adulting 101,I300,pnp_elec,FALSE,FALSE,FALSE,B+,11522 I300,11522,0,97,,0,89,100
I,SP-AP Government,A400,project,TRUE,TRUE,FALSE,I,11524 A400,11524,25,80,,1,77,88
I,SP-AP English Literature,B400,project,TRUE,FALSE,FALSE,I,11524 B400,11524,60,87,,1,87,100
I,SP-AP Statistics,C420,project,TRUE,TRUE,FALSE,I,11524 C420,11524,0,73,74,1,67,72
I,SP-AP Environmental Science,D430,project,TRUE,TRUE,FALSE,I,11524 D430,11524,0,89,,1,80,84
P,Internship,I139,pnp_elec,FALSE,FALSE,FALSE,B+,11524 I139,11524,100,83,,0,88,100
