corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
C+,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76799_2017-08-15,11510 A400,11510,40,76,,0,78,100
B-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76850_2017-08-15,11510 B400,11510,50,80,,0,82,100
B-,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76813_2017-08-15,11510 C420,11510,0,83,84,0,80,100
B-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76802_2017-08-15,11510 D430,11510,38,82,,0,82,100
B-,SP-AP Spanish Language,E400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76804_2017-08-15,11510 E400,11510,16,,,0,80,100
P,Independent Study,I106,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81169_2017-08-15,11510 I106,11510,100,85,,0,90,100
C-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76890_2017-08-15,11512 A400,11512,0,73,,0,72,100
C,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76844_2017-08-15,11512 B400,11512,0,76,,0,74,100
C-,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76813_2017-08-15,11512 C420,11512,0,74,73,0,72,100
C,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,76891_2017-08-15,11512 D430,11512,0,75,,0,74,100
C-,SP-Spanish 3,E300,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76829_2017-08-15,11512 E300,11512,0,,,0,71,100
B,Entrepreneurship,G022,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,81158_2017-08-15,11512 G022,11512,100,79,,0,85,100
C-,Intro to Programming,I1106ICS,6/15/2018 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,81160_2017-08-15,11512 G103,11512,0,70,,0,70,100
B-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76810_2017-08-15,11514 A400,11514,40,79,,0,80,100
B-,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76890_2017-08-15,11514 A400,11514,40,79,,0,80,100
B,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76855_2017-08-15,11514 B400,11514,50,83,,0,84,100
B-,SP-AP Statistics,C420,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76813_2017-08-15,11514 C420,11514,16,82,88,0,82,100
B,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,76802_2017-08-15,11514 D430,11514,46,83,,0,83,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,81179_2017-08-15,11514 I139,11514,100,89,,0,92,100
A,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76810_2017-08-15,11515 A400,11515,100,93,,0,95,100
A,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,76844_2017-08-15,11515 B400,11515,100,93,,0,95,100
A+,SP-AP Calculus AB,C400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,81125_2017-08-15,11515 C400,11515,83,99,98,0,97,100
A+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76802_2017-08-15,11515 D430,11515,100,96,,0,97,100
A+,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,76833_2017-08-15,11515 D430,11515,100,96,,0,97,100
A,SP-AP Spanish Language,E400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,81836_2017-08-15,11515 E400,11515,100,,,0,95,100
P,Internship,I139,6/15/2018 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,81179_2017-08-15,11515 I139,11515,100,91,,0,94,100
C+,SP-AP Government,A400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76810_2017-08-15,11516 A400,11516,0,81,,0,78,100
C-,SP-AP English Literature,B400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,76855_2017-08-15,11516 B400,11516,0,70,,0,70,100
C+,SP-AP Calculus AB,C400,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C+,76878_2017-08-15,11516 C400,11516,0,84,83,0,79,100
B-,SP-AP Environmental Science,D430,6/15/2018 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,76802_2017-08-15,11516 D430,11516,0,86,,0,81,100
